[	2.9999999999999999e-01	-1.1874670194725819e-04	1.2613610610502004e-03	1.1490698123443628e-01	3.1484464017597713e-03	8.4682868479416099e-02	-9.0526954386316620e-04	-1.2804982525781113e-02	1.5152205030792016e+00	-3.1211941759167635e-02	-4.3025875090022273e-02	1.4985104015617786e-03	4.4264404059262692e-02	2.2155848419777267e-02	-1.5275766390955929e-02	3.6104288958075181e-01	4.7686205646664320e-01	4.2017680498377064e-01	2.0264031688267391e-04	-3.0544210802164273e-01	-1.1850212947922975e-01	-3.2348443343296118e-01	-2.5100486576695907e-01	4.2915983781017669e-01	2.6602635577382977e-01	1.4643302665961744e+00	]
[	2.9999999999999999e-01	-1.6530922239058640e-04	1.4757926707901323e-03	1.1490069754327660e-01	3.1489021153217160e-03	8.4691376436777738e-02	-7.8561613906085793e-04	-1.3157696533769980e-02	1.5152591154803536e+00	-3.1277432496472433e-02	-4.2978619696505807e-02	1.4786407731168863e-03	4.4210315194760957e-02	2.1164579328607054e-02	-1.0908144884867797e-02	3.6103157190253377e-01	4.7681180200917661e-01	4.2012583083375110e-01	2.0264117119128959e-04	-3.1098311168902121e-01	-1.1795401310700555e-01	-3.2384731046171877e-01	-2.5059659430415371e-01	4.2911879233243827e-01	2.6460383982376423e-01	1.4643153254483761e+00	]
[	3.3333333333333331e-01	8.7337454720510849e-04	1.5429437230727655e-03	1.2480152140809306e-01	1.3961887166485491e-02	9.5110454593068661e-02	-6.8645870329953290e-04	-2.1415742201413988e-02	1.5139280206534922e+00	-3.9920297943527125e-02	-5.2702865271745794e-02	1.0929301995042266e-02	5.3216054165917188e-02	4.2119273896347349e-02	1.3711913862495014e-02	2.3296551152631048e-01	1.7175958686002957e-01	2.0501733384425155e-01	2.6144283924810219e-04	-1.8446451865055780e-01	3.7828320755139554e-02	-1.9264881557014074e-01	-3.3354510884825600e-01	1.3992888566005007e-01	2.7666551820761126e-01	1.6249584400413279e+00	]
[	3.6666666666666670e-01	2.6868865129815829e-03	2.3375323196464519e-03	1.3042795345831631e-01	1.4594646275357594e-02	9.8356269772791438e-02	-6.2800692586808648e-04	-2.5493220261663618e-02	1.5177698916827740e+00	-4.4028530029933996e-02	-6.5243305210940544e-02	1.0907663691391681e-02	6.2692131831137823e-02	6.7049666835311134e-02	3.3626248837867682e-02	1.0456190721440317e-01	-1.3388008036252388e-01	-1.0261727443668892e-02	3.2024450730491478e-04	-6.1331287088231136e-02	1.9260365795095832e-01	-5.3150531100315916e-02	-4.1904463387960533e-01	-1.4026145780883068e-01	2.9207774843646567e-01	1.7864732149185325e+00	]
[	4.0000000000000002e-01	5.3470160449365697e-03	3.7917779725087143e-03	1.3176832252768733e-01	5.0409741279686107e-03	9.4424497210412670e-02	-6.5264876586859253e-04	-2.5621227941863743e-02	1.5267692162910160e+00	-4.3463631555813724e-02	-8.0631454816645520e-02	1.6057493302186186e-03	7.2674851118813014e-02	9.2306546621793481e-02	5.4179624814076018e-02	-2.4202853474025128e-02	-4.3931138751918491e-01	-2.2566612549601053e-01	3.7904617536172705e-04	5.1219503582835439e-02	3.4748564176346147e-01	8.6309575599993985e-02	-5.0381556142103268e-01	-4.1800979392477561e-01	3.0633175049945555e-01	1.9489630885915838e+00	]
[	4.0000000000000002e-01	5.2236337399901647e-03	3.8643521041882819e-03	1.3181561003472980e-01	5.0330767262152746e-03	9.4418584866926253e-02	-4.3527767459309522e-04	-2.5584669013582563e-02	1.5266160373273354e+00	-4.3308473329919536e-02	-8.0584655605685632e-02	1.6641606648234468e-03	7.2696542529040120e-02	8.9506851116929617e-02	5.5679739122585586e-02	-2.3177983735497225e-02	-4.3941708356864406e-01	-2.2566776214594644e-01	3.7904762885937070e-04	5.3052466741985251e-02	3.4449152320690873e-01	8.9302824094513567e-02	-5.0312309590207227e-01	-4.1709464790187334e-01	3.0715381689879112e-01	1.9488848146562257e+00	]
[	4.3333333333333335e-01	8.8283316041078350e-03	6.1100633279442844e-03	1.3157697970861232e-01	-1.4461006978312430e-02	8.7176405575119117e-02	-3.9771578417089785e-04	-2.2173015916239613e-02	1.5377552129334322e+00	-3.8639620319794891e-02	-9.9333205536539043e-02	-1.6767007054169718e-02	8.3319710572722167e-02	1.2619673532924428e-01	8.0270308564588042e-02	8.8328209050550204e-03	-7.3017542380292033e-01	-2.0889848546723080e-01	2.3365134311363524e-04	1.4833214243583834e-01	3.2332532013207865e-01	1.8945599530365353e-01	-6.2057385816380173e-01	-6.8919727702733824e-01	3.2915187255010087e-01	2.1123849291425212e+00	]
[	4.6666666666666667e-01	1.3598569560362891e-02	9.3127886179529794e-03	1.3240158927125620e-01	-4.3637298060485774e-02	8.0494001868493398e-02	-2.0493774712978236e-04	-1.5947455153771824e-02	1.5481551425457705e+00	-3.0831406571274998e-02	-1.2184682588812591e-01	-4.4312256979346418e-02	9.4554127045523642e-02	1.5945462496397747e-01	1.1358769478215384e-01	4.0588398872580353e-02	-1.0203428425578727e+00	-1.9223941729958788e-01	8.8255057367899969e-05	2.2099918417730732e-01	3.0073005190897323e-01	2.7582952279804879e-01	-7.2816210254927827e-01	-9.6399339616048330e-01	3.4347075559569445e-01	2.2766839257727458e+00	]
[	5.0000000000000000e-01	1.9421684463215884e-02	1.3811604520648960e-02	1.3427880426159294e-01	-8.2478725206318229e-02	7.4375014603041911e-02	1.7519473809763942e-04	-7.7474016867392134e-03	1.5578269717469899e+00	-2.0523044871327684e-02	-1.4770716511976714e-01	-8.1067030585991240e-02	1.0611555728834761e-01	1.8938451688493405e-01	1.5853006974771122e-01	7.1983015211593795e-02	-1.3100946874516217e+00	-1.7563488140971267e-01	-5.7141228377835293e-05	2.6597868047312473e-01	2.8020285059181188e-01	3.3773355624953455e-01	-8.2040518118037764e-01	-1.2418363401146313e+00	3.4863009899455072e-01	2.4415992768665382e+00	]
[	5.0000000000000000e-01	1.9294508778164861e-02	1.3751599790750161e-02	1.3432688739876664e-01	-8.2456038395843353e-02	7.4359456716275446e-02	1.7418109393741734e-04	-7.4453849118781123e-03	1.5576607700026641e+00	-2.0290115193387349e-02	-1.4773981212995665e-01	-8.1187227155525468e-02	1.0610824428414284e-01	1.8776742196566257e-01	1.5758960534822347e-01	7.2824710798447392e-02	-1.3096188048580677e+00	-1.7585997130383019e-01	-5.7140293094161393e-05	2.7245563735375633e-01	2.7679270701975345e-01	3.4253943036518403e-01	-8.2130059742221784e-01	-1.2442377973203467e+00	3.4807115930453203e-01	2.4415016281965758e+00	]
