[	1.8181818181818182e-01	1.2625016638522082e-04	-3.7090227882122037e-09	1.8917280934708142e-02	3.6637384576638080e-03	-1.7102075053488333e-07	3.2538472172631139e-01	-5.1390231641170534e-07	-6.4119123698145094e-03	2.1805595442211619e-04	6.2667125191870739e-06	-1.0869301421690970e-01	3.6954263159653445e-03	6.8787665483995497e+01	6.8787665473526530e+01	6.8890190098101172e+01	6.7870180866948118e+01	]
[	2.0000000000000001e-01	2.0899705273159550e-04	-8.2595566455450179e-09	2.5481148202252023e-02	5.5397544830960935e-03	-3.4762179409444087e-07	3.9792221873037614e-01	-9.2557083305058507e-07	-8.6043459355436749e-03	2.9259133701279064e-04	1.0274964549700644e-05	-1.3292045466231528e-01	4.5186548890982876e-03	6.9866432032395039e+01	6.9866432020879188e+01	6.9979209107911316e+01	6.8857198953642950e+01	]
[	2.0000000000000001e-01	2.0899705273159550e-04	-8.2595566455450179e-09	2.5481148202252023e-02	5.5397544830960935e-03	-3.4762179409444087e-07	3.9792221873037614e-01	-9.2557083305058507e-07	-8.6043459355436749e-03	2.9259133701279064e-04	1.0274964549700644e-05	-1.3292045466231528e-01	4.5186548890982876e-03	6.9866432032395039e+01	6.9866432020879188e+01	6.9979209107911316e+01	6.8857198953642950e+01	]
[	2.1818181818181820e-01	3.3165009978509789e-04	-1.7186240524910483e-08	3.3413600848606596e-02	8.0650106221252186e-03	-6.6241577190303605e-07	4.7481260511869477e-01	-1.5929321595128093e-06	-1.1257983286707060e-02	3.8305617260826617e-04	1.5227503140196309e-05	-1.5921961045842944e-01	5.4547441971056678e-03	7.0038435606580748e+01	7.0038516824204663e+01	7.0114012820582303e+01	6.8929683766823544e+01	]
[	2.3636363636363639e-01	5.0682762224354581e-04	-3.3669559431782818e-08	4.2753150236588384e-02	1.1342469840428993e-02	-1.1971055645153302e-06	5.5270684949937066e-01	-2.6620259841303036e-06	-1.4403020701067800e-02	4.9176081246636312e-04	2.0799411246513740e-05	-1.8698134690246682e-01	6.5258176411647105e-03	7.0210439180766457e+01	7.0210601627530195e+01	7.0248816533253276e+01	6.9002168580004152e+01	]
[	2.5454545454545457e-01	7.4949216086663798e-04	-6.2827564411954823e-08	5.3518105762320793e-02	1.5508414566424041e-02	-2.0811661507362960e-06	6.3160280958972426e-01	-4.3257142630636940e-06	-1.8066198399007471e-02	6.2117326916785915e-04	2.7725947793289415e-05	-2.1620992198419808e-01	7.7323775864604118e-03	7.0382442754952166e+01	7.0382686430855685e+01	7.0383620245924263e+01	6.9074653393184732e+01	]
[	2.7272727272727276e-01	1.0770279328542920e-03	-1.1257367324644059e-07	6.5726581900095560e-02	2.0706460706816154e-02	-3.4998045343329132e-06	7.1149684315702233e-01	-6.8214024453555030e-06	-2.2274124710187620e-02	7.7375088664388952e-04	3.6871408179376299e-05	-2.4690956035096828e-01	9.0749224763643898e-03	7.0554446329137889e+01	7.0554771234181175e+01	7.0518423958595250e+01	6.9147138206365355e+01	]
[	2.9090909090909089e-01	1.5096215751586469e-03	-1.9486513624007765e-07	7.9396721517117227e-02	2.7089631242857196e-02	-5.7099737304800624e-06	7.9238342190914657e-01	-1.0441843502003434e-05	-2.7053648168131817e-02	9.5197445575248769e-04	4.9250643097841755e-05	-2.7908451242010679e-01	1.0553953813097514e-02	7.0726449903323584e+01	7.0726856037506664e+01	7.0653227671266222e+01	6.9219623019545949e+01	]
[	3.0909090909090908e-01	2.0702785297850405e-03	-3.2708071779366415e-07	9.4546503129297382e-02	3.4819266934441907e-02	-9.0551668516002112e-06	8.7425476585096262e-01	-1.5541598843454828e-05	-3.2431630069526721e-02	1.1583268785195157e-03	6.6032563016729532e-05	-3.1273901816521998e-01	1.2169971893739841e-02	7.0898453477509292e+01	7.0898940840832168e+01	7.0788031383937223e+01	6.9292107832726572e+01	]
[	3.2727272727272727e-01	2.7849548014999893e-03	-5.3369569590889253e-07	1.1119370547818397e-01	4.4065092181516552e-02	-1.3982971746908781e-05	9.5710043281565294e-01	-2.2545185355037951e-05	-3.8434955068658183e-02	1.3952936866397322e-03	8.8549170021310380e-05	-3.4787730886120338e-01	1.3923476026907375e-02	7.1070457051695030e+01	7.1071025644157686e+01	7.0922835096608225e+01	6.9364592645907180e+01	]
[	3.4545454545454546e-01	3.6828998996746160e-03	-8.4858585771344342e-07	1.2935596562237636e-01	5.5006437824721421e-02	-2.1069747511682416e-05	1.0409067480533623e+00	-3.1959518400012631e-05	-4.5090701585110644e-02	1.6653782053937492e-03	1.1831564489656438e-04	-3.8450363372221064e-01	1.5814967690544083e-02	7.1242460625880724e+01	7.1243110447483190e+01	7.1057638809279226e+01	6.9437077459087803e+01	]
[	3.6363636363636365e-01	4.7966331647672422e-03	-1.3173688302229078e-06	1.4905059285846894e-01	6.7831128651335768e-02	-3.1041350811107753e-05	1.1256563387983973e+00	-4.4380679423878634e-05	-5.2425954817408756e-02	1.9710834990897086e-03	1.5703155864714712e-04	-4.2262223036617880e-01	1.7844947064212777e-02	7.1414464200066433e+01	7.1415195250808679e+01	7.1192442521950198e+01	6.9509562272268397e+01	]
[	3.8181818181818183e-01	6.1620747125046733e-03	-2.0002224225996122e-06	1.7029450626381348e-01	8.2735504294235956e-02	-4.4798065245784856e-05	1.2113275830885653e+00	-6.0503192931197690e-05	-6.0467815581451471e-02	2.3149122428939690e-03	2.0658984886699817e-04	-4.6223732620320679e-01	2.0013913213442477e-02	7.1586467774252156e+01	7.1587280054134169e+01	7.1327246234621157e+01	6.9582047085449005e+01	]
[	4.0000000000000002e-01	7.8189985786213528e-03	-2.9759196687719447e-06	1.9310427216281023e-01	9.9925974768265632e-02	-6.3452208200084019e-05	1.2978937641078969e+00	-8.1136599798461919e-05	-6.9243599822508606e-02	2.6993839370118042e-03	2.6910310472797957e-04	-5.0335316927684426e-01	2.2322367757307972e-02	7.1758471348437865e+01	7.1759364857459687e+01	7.1462049947292158e+01	6.9654531898629600e+01	]
